card_id,card_name,list_period,status,category,rationale,evidence,source,notes
97232518,Abyss Stungray,2026-03,2,diversity,"A bit too prevalent",stated,,
21187631,Altergeist Dragvirion,2026-03,1,preemptive,"Introduced to the format as Limited",stated,,
86885905,Altergeist Emulatelf,2026-03,1,preemptive,"Introduced to the format as Limited",stated,,
91831066,Aquarium Lighting,2026-03,1,synergy,"Strong stats buff and recovery tool for Aquaactress; as the format evolves, Aquaactress might be more fine with only 1",stated,,
62892347,Arcana Force 0 - The Fool,2026-03,0,stall,"Pushing back against accessible battle immunity",stated,,
23338098,Assault Blackwing - Chidori the Rain Sprinkling,2026-03,1,synergy,"Hit to limit Blackwing's aggressive potential",stated,,
17465972,Blackwing - Auster the South Wind,2026-03,1,recursion,"Consistency / repetition hit for Blackwings",stated,,
95040215,Blackwing - Nothung the Starlight,2026-03,0,power,"Creates gamestates which are difficult to manage",stated,,
72714392,Blackwing - Vayu the Emblem of Honor,2026-03,0,consistency,"GY advantage proved too strong for this strategy",stated,,
88086137,Broken Line,2026-03,2,power,"Slightly too much potential to control the game at 3",stated,,
93877990,Brotherhood of the Fire Fist - Swan,2026-03,0,power,"Fire Fist, an already otherwise pretty good strategy, had removal that was too powerful and easy to access",stated,,
96381979,Brotherhood of the Fire Fist - Tiger King,2026-03,1,consistency,"A powerhouse of a card which gave Fire Fist too much power, especially when repeated",stated,,
3534077,Coach Soldier Wolfbark,2026-03,2,synergy,"Offered Fire Fist a bit too much grind and recoverability",stated,,
77631175,Comics Hero King Arthur,2026-03,0,power,"Too strong a boss to out reliably",stated,,
64753988,Cyberdark Realm,2026-03,1,engine,"Cyberdark with this card is too versatile an engine",stated,,
73558460,Cynet Recovery,2026-03,0,recursion,"Enables too much potential for such an accessible, repeatable reborn",stated,,
95286165,De-Fusion,2026-03,0,resource-denial,"Too good against Fusion Decks",stated,,
32441317,De-Synchro,2026-03,0,resource-denial,"Too good against Synchro Decks",stated,,
45809008,Destiny Draw,2026-03,1,consistency,"Consistency hit for Destiny Hero",stated,,
63362460,Destiny HERO - Celestial,2026-03,1,genericity,"When played at multiple copies it is splashable generically and provides insane advantage to many strategies",stated,,
26964762,Destiny HERO - Dark Angel,2026-03,0,lock,"No healthy applications since its main appeal is locking the opponent out of Spell usage",stated,,
48150362,Destiny HERO - Drawhand,2026-03,1,consistency,"Consistency hit for Destiny Hero; also splashable as generic in unrelated strategies",stated,,
62171834,Dream Mirror Phantasms,2026-03,1,synergy,"Stats modifiers proved too degenerate when stacking copies; minor consistency hit",stated,,
62107981,Elemental HERO Knospe,2026-03,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
73507661,Fairy Wind,2026-03,0,power,"Too easily accessible for such a disruptive nuke",stated,,
81172176,Fiend Comedian,2026-03,0,power,"Too sacky and powerful for GY removal",stated,,
1232,Glitchy Helper,2026-03,1,external,"Technical utility card; not meant for regular gameplay",stated,,
52467217,Gozuki,2026-03,2,preemptive,"Introduced to the format as Limited for fear of Zombie strategies",stated,,
85646474,Gravekeeper's Nobleman,2026-03,0,consistency,"Enables excessive battle recruiter loops",stated,,
96802306,Igknight Gallant,2026-03,0,consistency,"Igknight too powerful; reducing number of available scales and Rank 6 access",stated,,
93662626,Igknight Veteran,2026-03,0,consistency,"Igknight too powerful; reducing number of available scales and Rank 6 access",stated,,
38848158,Igknights Unite,2026-03,0,collateral,"Enabled easy access to Igknight Lancer, too effective as S/T removal for Igknights",stated,,
10365322,Ignition Beast Volcannon,2026-03,1,synergy,"Invoked had too much grind thanks to this card",stated,,
48791583,Invoked Magellanica,2026-03,1,synergy,"Invoked had too much grind thanks to this card",stated,,
72171665,Magical Broker,2026-03,0,stall,"Pushing back against accessible battle immunity",stated,,
