deck_type,aliases,defining_cards,description,kind
Constellar,Constellars,9#arch:Constellar;90156158,"Tempo-oriented control deck that uses Constellar Level manipulation to set up Rank 4 and Rank 5 plays; Constellar Star Cradle is the main resource recycler.",deck
Crystal Beast,Crystal Beasts;CB;CBs,7#arch:Crystal Beast;7093411,"Grind deck that gathers Crystal Beast Fusion Materials with different names over several turns for its high-ATK boss, Overdrive - Spectrum, then pushes for the win; Crystal Beast Sapphire Pegasus is the placement engine.",deck
Fortune Fairy,Fortune Fairies;FF,6#arch:Fortune Fairy;130000055|31461282,"Toolbox deck built on draw effects, Deck manipulation and moderate to heavy RNG to resolve its Fortune Fairy effects; Miracle Stone is the main advantage enabler and damage dealer.",deck
Gem-Knight,Gem Knight;Gem-Knights;Gem Knights;Gem,9#arch:Gem-Knight;1264319,"Aggro Fusion deck that mixes Normal and Effect Gem-Knights to reach specific Fusion tools; recycling Gem-Knight Fusion keeps Fusion Summons coming within one turn for a push, or across several turns.",deck
Gigavise,Gigaplant,2#53257892;2#95750695,"Explosive OTK deck that exploits the synergy between Gigaplant and Supervise to build a board with high damage output in a single turn; Blazewing Butterfly is a common Gemini tool.",deck
Gravekeepers,Gravekeeper;Gravekeeper's;GK;GKs,9#arch:Gravekeeper's;130000179,"Control-combo hybrid that pairs Gravekeeper's Flip monsters and tutors with a Fusion line; The Valley of the Gravekeepers stands in for Necrovalley and locks GY-based strategies, while Gravekeeper's Spiritualist reaches Gravekeeper's Augur.",deck
Kappa,,6#arch:Kappa;130000239|50789693,"Slow grind and stall deck that accumulates small permanent debuffs on the opponent's monsters and buffs its own; Ronin Kappa and Armored Kappa give it easy access to Synchro and Rank 2 Xyz toolboxes.",deck
Millsect,Millsects;Insect Mill,9#race:Insect;81843628,"Deck-out strategy built on Needle Worm and other Insect support; Doom Dozer shifts it from a defensive milling plan to aggressive pressure when needed.",deck
Pendulum 4-Axis,Pend 4-axis,9#subtype:Pendulum&level:4,"Aggro Pendulum deck with scales tuned to swarm Level 4 monsters and utilities; it can lean towards Level 8 Synchro, Rank 4 Xyz or Link climbing toolboxes depending on the build.",deck
Relinquished,,2#64631466,"Control deck around Relinquished, with tutors that find it consistently and tools that let it equip monsters repeatedly; its low Ritual Level requirement meshes with Level 1 utilities.",deck
Shaddoll,Shaddolls,6#arch:Shaddoll;130000085,"Midrange deck that uses Shaddoll Flip effects and recursive Fusion engines to generate advantage; El Shaddoll Shevrain is its custom Extra Deck payoff.",deck
Spirit,Spirits,6#subtype:Spirit;9553721|130000001,"Aggro deck built on Spirit monsters and their support; Shinobird Power Spot and Mount Fuji are its main damage dealers and swarm tools.",deck
Sword Fish Control,Sword Fish;Swordfish;Swordfish Control,2#15452043;27551|98273947,"Control deck that Summons Performapal Sword Fish as often as possible to apply heavy permanent debuffs on the opponent's monsters, leaning on revival cards such as Limit Reverse and Graceful Revival plus swarmers and recruiters.",deck
Union Synchro,,3#subtype:Union;66399653,"Resource-looping Synchro control that builds a tower, such as Power Tool Mecha Dragon, protected and enhanced by Union monsters searched with Union Hangar.",deck
X-Saber,X Saber;Saber;X-Sabers;X Sabers;Sabers,6#arch:Saber,"Aggro Synchro deck built on X-Saber and XX-Saber monsters that can make use of potent Beast-Warrior support; XX-Saber General Gottoms is the custom Synchro payoff.",deck
